"SITE","CR_ID","POC_CODE"
"OPG","19-00001","POC1"
"OPG","19-00001","POC2"
"OPG","19-00002","POC1"
"OPG","19-00002","POC3"
"OPG","19-00003","POC1"
"OPG","19-00003","POC2"
"OPG","19-00004","POC1"
"OPG","19-00004","POC3"
"OPG","19-00005","POC1"
"OPG","19-00005","POC2"
"OPG","19-00006","POC1"
"OPG","19-00006","POC3"
"OPG","19-00007","POC1"
"OPG","19-00007","POC2"
"OPG","19-00008","POC1"
"OPG","19-00008","POC3"
"OPG","19-00009","POC1"
"OPG","19-00009","POC3"
"OPG","19-00010","POC1"
"OPG","19-00010","POC2"
"OPG","19-00011","POC1"
"OPG","19-00011","POC2"
"OPG","19-00012","POC1"
"OPG","19-00012","POC3"
"OPG","19-00013","POC1"
"OPG","19-00013","POC2"
"OPG","19-00014","POC1"
"OPG","19-00014","POC3"
"OPG","19-00015","POC1"
"OPG","19-00015","POC2"
"OPG","19-00016","POC1"
"OPG","19-00016","POC3"
